flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,total_packets,forward_packets,backward_packets,is_bidirectional,forward_backward_ratio,total_bytes,forward_bytes,backward_bytes,total_payload_bytes,forward_payload_bytes,backward_payload_bytes,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,avg_packet_size,avg_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,tcp_flags,syn_count,fin_count,rst_count,ack_count,connection_state
192.168.0.53:1280 <-> 204.79.197.200:80 (TCP),192.168.0.53,204.79.197.200,1280,80,TCP,2015-03-09 14:28:38.313572,2015-03-09 14:28:44.614855,6.301283,427,152,275,True,0.5527272727272727,354891,25718,329173,340373,20550,319823,67.76397758996065,56320.435060605916,60,1454,831.1264637002342,14.791744131455395,0.0,579.327,"A,PA,RA,S,SA",1,0,1,426,Reset
192.168.0.54:49205 <-> 23.53.42.121:80 (TCP),192.168.0.54,23.53.42.121,49205,80,TCP,2015-03-09 14:39:31.617997,2015-03-09 14:39:53.676812,22.058815,455,239,216,True,1.1064814814814814,317633,22511,295122,302163,14385,287778,20.626674642314196,14399.368234422385,60,1454,698.0945054945055,48.58769823788548,0.0,14917.387,"A,PA,S,SA",1,0,0,454,Established
192.168.0.54:49308 <-> 93.184.220.20:80 (TCP),192.168.0.54,93.184.220.20,49308,80,TCP,2015-03-09 14:39:35.688626,2015-03-09 14:39:51.035559,15.346933,326,111,215,True,0.5162790697674419,312486,6798,305688,301402,3024,298378,21.2420292706041,20361.462449858875,60,1454,958.5460122699386,47.22133230769231,0.0,14858.429,"A,FA,PA,S,SA",1,2,0,325,Closed
192.168.0.54:49307 <-> 93.184.220.20:80 (TCP),192.168.0.54,93.184.220.20,49307,80,TCP,2015-03-09 14:39:35.688150,2015-03-09 14:39:51.037071,15.348921,326,111,215,True,0.5162790697674419,312486,6798,305688,301402,3024,298378,21.239277992244535,20358.82522295867,60,1454,958.5460122699386,47.22744923076923,0.0,14887.573,"A,FA,PA,S,SA",1,2,0,325,Closed
192.168.0.53:1192 <-> 2.23.159.132:80 (TCP),192.168.0.53,2.23.159.132,1192,80,TCP,2015-03-09 14:14:19.032543,2015-03-09 14:15:40.747185,81.714642,348,142,206,True,0.6893203883495146,291459,41736,249723,279627,36908,242719,4.258722690114705,3566.7903923509816,60,1454,837.5258620689655,235.4888818443804,0.0,62517.275,"A,PA,RA,S,SA",1,0,1,347,Reset
192.168.0.53:1199 <-> 2.23.159.132:80 (TCP),192.168.0.53,2.23.159.132,1199,80,TCP,2015-03-09 14:14:21.648333,2015-03-09 14:15:35.747431,74.099098,307,120,187,True,0.6417112299465241,263745,25106,238639,253307,21026,232281,4.143100365405258,3559.3550679928658,60,1454,859.1042345276873,242.15391503267972,0.0,62488.933000000005,"A,PA,RA,S,SA",1,0,1,306,Reset
192.168.0.51:60180 <-> 195.12.232.155:443 (TCP),192.168.0.51,195.12.232.155,60180,443,TCP,2015-03-09 14:23:45.521275,2015-03-09 14:26:46.350274,180.828999,304,112,192,True,0.5833333333333334,262437,9058,253379,252101,5250,246851,1.681146285613183,1451.2993018337727,60,1454,863.2796052631579,596.7953762376237,0.0,58967.091,"A,FA,PA,R,S,SA",1,2,4,299,Closed
173.194.67.103:443 <-> 192.168.0.54:49365 (TCP),173.194.67.103,192.168.0.54,443,49365,TCP,2015-03-09 14:39:52.754707,2015-03-09 14:40:43.335206,50.580499,376,177,199,True,0.8894472361809045,255079,230544,24535,242295,224526,17769,7.433694950300905,5043.03051656331,60,1454,678.4015957446809,134.8813306666667,0.0,19643.928,"A,PA,S,SA",1,0,0,375,Established
191.237.171.29:443 <-> 192.168.0.54:49189 (TCP),191.237.171.29,192.168.0.54,443,49189,TCP,2015-03-09 14:39:12.151760,2015-03-09 14:39:23.508271,11.356511,288,157,131,True,1.1984732824427482,253536,180077,73459,243744,174739,69005,25.359901469738375,22325.16659385968,60,1454,880.3333333333334,39.56972473867596,0.001,6293.99,"A,PA,RA,S,SA",1,0,1,287,Reset
192.168.0.54:49475 <-> 216.58.209.99:443 (TCP),192.168.0.54,216.58.209.99,49475,443,TCP,2015-03-09 14:40:55.651898,2015-03-09 14:40:56.207260,0.555362,317,124,193,True,0.6424870466321243,244756,10356,234400,233978,6140,227838,570.7988663250276,440714.3448777554,60,1454,772.1009463722397,1.757474683544303,0.0,89.89,"A,PA,S,SA",1,0,0,316,Established
192.168.0.53:1286 <-> 89.146.199.157:80 (TCP),192.168.0.53,89.146.199.157,1286,80,TCP,2015-03-09 14:29:01.888330,2015-03-09 14:29:17.655796,15.767466,309,134,175,True,0.7657142857142857,242409,34213,208196,231903,29657,202246,19.59731512977418,15373.998586710128,60,1454,784.495145631068,51.193071428571415,0.0,4893.833,"A,FA,PA,RA,S,SA",1,1,1,308,Closed
192.168.0.54:49235 <-> 85.235.246.25:80 (TCP),192.168.0.54,85.235.246.25,49235,80,TCP,2015-03-09 14:39:33.237203,2015-03-09 14:40:04.463345,31.226142,331,170,161,True,1.0559006211180124,236051,13548,222503,224797,7768,217029,10.600092704375712,7559.403271784264,60,1454,713.1450151057402,94.62467272727272,0.0,29958.925,"A,FA,PA,S,SA",1,1,0,330,Closed
